Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
583,Santo Alcalá,-0.5,132.0,,1976,23,CIN,NL,11,4,.733,15,4.70,30,21,3,1,0,132.0,131,72,69,12,67,3,67,3,2,3,583,75,4.39,1.500,8.9,0.8,4.6,4.6,1.00,-0.5,-1.7,1,alcalsa01
584,Tyler Chatwood,-0.5,142.0,,2011,21,LAA,AL,6,11,.353,17,4.75,27,25,0,0,0,142.0,166,81,75,14,71,4,74,6,1,3,633,79,4.89,1.669,10.5,0.9,4.5,4.7,1.04,-0.5,-1.9,1,chatwty01
585,Jeff Robinson,-0.6,127.1,,1987,25,DET,AL,9,6,.600,15,5.37,29,21,2,1,0,127.1,132,86,76,16,54,3,98,7,3,4,569,79,4.40,1.461,9.3,1.1,3.8,6.9,1.81,-0.6,-1.7,,robinje02
586,Michael Lorenzen,-0.6,113.1,,2015,23,CIN,NL,4,9,.308,13,5.40,27,21,0,0,0,113.1,131,70,68,18,57,6,83,6,0,4,515,73,5.40,1.659,10.4,1.4,4.5,6.6,1.46,-0.6,-1.5,1/H,lorenmi01
587,Randy Johnson,-0.6,160.2,,1989,25,MONSEA,ALNL,7,13,.350,20,4.82,29,28,2,0,0,160.2,147,100,86,13,96,2,130,3,7,7,715,82,4.05,1.512,8.2,0.7,5.4,7.3,1.35,-0.6,-2.1,/1,johnsra05
588,Joe Slusarski,-0.6,109.1,,1991,24,OAK,AL,5,7,.417,12,5.27,20,19,1,0,0,109.1,121,69,64,14,52,1,60,4,0,4,486,73,4.96,1.582,10.0,1.2,4.3,4.9,1.15,-0.6,-1.6,1,slusajo01
589,Scott Carroll,-0.6,129.1,,2014,29,CHW,AL,5,10,.333,15,4.80,26,19,0,0,0,129.1,147,81,69,13,45,1,64,12,1,5,573,78,4.77,1.485,10.2,0.9,3.1,4.5,1.42,-0.6,-1.8,,carrosc02
590,Renie Martin,-0.6,137.1,,1980,24,KCR,AL,10,10,.500,20,4.39,32,20,2,0,2,137.1,133,84,67,18,70,2,68,1,0,4,599,91,5.02,1.478,8.7,1.2,4.6,4.5,0.97,-0.6,-1.8,,martire01
591,Jeff Johnson,-0.7,127.0,,1991,24,NYY,AL,6,11,.353,17,5.95,23,23,0,0,0,127.0,156,89,84,15,33,1,62,6,1,5,562,70,4.34,1.488,11.1,1.1,2.3,4.4,1.88,-0.7,-1.9,,johnsje02
592,Blake Stein,-0.7,117.1,,1998,24,OAK,AL,5,9,.357,14,6.37,24,20,1,1,0,117.1,117,92,83,22,71,3,89,5,0,15,538,71,6.00,1.602,9.0,1.7,5.4,6.8,1.25,-0.7,-1.9,1,steinbl01
593,Rob Dressler,-0.7,107.2,,1976,22,SFG,NL,3,10,.231,13,4.43,25,19,0,0,0,107.2,125,68,53,8,35,4,33,2,0,1,480,82,4.02,1.486,10.4,0.7,2.9,2.8,0.94,-0.7,-1.6,1,dressro01
594,Wade Taylor,-0.7,116.1,,1991,25,NYY,AL,7,12,.368,19,6.27,23,22,0,0,0,116.1,144,85,81,13,53,0,72,7,3,3,528,66,4.62,1.693,11.1,1.0,4.1,5.6,1.36,-0.7,-1.8,,taylowa01
595,Jason Berken,-0.8,119.2,,2009,25,BAL,AL,6,12,.333,18,6.54,24,24,0,0,0,119.2,164,92,87,19,44,2,66,6,1,0,560,70,5.31,1.738,12.3,1.4,3.3,5.0,1.50,-0.8,-1.9,1,berkeja01
596,Jharel Cotton,-0.8,129.0,,2017,25,OAK,AL,9,10,.474,19,5.58,24,24,0,0,0,129.0,133,91,80,28,53,1,105,4,2,9,566,75,5.68,1.442,9.3,2.0,3.7,7.3,1.98,-0.8,-2.0,1,cottojh01
