Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Kazuhisa Ishii,LAD,4/6/02,7/30/02,0.5,123.1,12,7,21,0.632,3.87,108,13,84,117,548,205,52,-1.61,1.02,ishiika01
Noah Syndergaard,NYM,5/12/15,9/12/15,0.5,129.1,8,6,21,0.571,3.2,112,15,30,137,524,147,58,7.3,1,syndeno01
Rick Porcello,DET,4/9/09,8/11/09,0.5,112,10,7,21,0.588,4.34,119,17,38,57,475,163,48,2.57,0.95,porceri01
Freddy García,SEA,4/7/99,7/28/99,0.4,121.2,10,6,21,0.625,4.96,128,13,59,89,547,200,47,6.16,1.03,garcifr03
Scott Bankhead,KCR,5/25/86,9/5/86,0.4,115.2,8,8,17,0.5,4.36,115,13,32,88,489,153,49,1.92,0.95,bankhsc01
Greg Hibbard,CHW,5/31/89,9/18/89,0.4,128,5,7,21,0.417,3.09,129,4,36,52,535,180,52,8.83,1.04,hibbagr01
Jordan Montgomery,NYY,4/12/17,8/5/17,0.4,115.2,7,6,21,0.538,4.05,108,16,35,111,484,148,52,5.63,0.91,montgjo01
Geremi González,CHC,5/27/97,9/15/97,0.4,129.2,11,8,21,0.579,4.44,119,15,63,81,558,187,50,6.17,1.01,gonzaje01
Charles Hudson,PHI,5/31/83,9/5/83,0.4,138.1,7,7,21,0.5,3.51,137,12,40,85,575,181,53,3.61,0.96,hudsoch02
Greg Smith,OAK,4/9/08,7/29/08,0.4,127,5,10,21,0.333,4.04,108,15,56,84,530,171,52,9.29,0.94,smithgr02
René Arocha,STL,4/9/93,8/10/93,0.4,128,10,3,19,0.769,3.52,133,13,16,65,524,159,53,6.82,0.98,arochre01
Chase Anderson,ARI,5/11/14,9/19/14,0.4,114.1,9,7,21,0.563,4.01,117,16,40,105,486,160,51,-3.74,0.89,anderch01
Ron Romanick,CAL,4/5/84,7/20/84,0.3,152.2,9,9,21,0.5,3.77,150,13,42,56,640,201,52,5.91,1.01,romanro01
Clayton Kershaw,LAD,5/25/08,9/24/08,0.3,106.2,5,5,21,0.5,4.3,107,11,51,100,465,162,50,0.44,0.99,kershcl01
Joe Kelly,STL,6/10/12,9/25/12,0.3,103,5,7,16,0.417,3.58,110,9,35,73,442,153,49,-1.35,1.04,kellyjo05
Taylor Jungmann,MIL,6/9/15,10/1/15,0.3,119.1,9,8,21,0.529,3.77,106,11,47,107,501,164,53,1.85,1.03,jungmta01
