Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
72,Wei-Yin Chen,BAL,2012-04-10,2012-07-29,0.6,128.1,9,6,21,0,0,0,0,0,128.1,15,.600,3.65,113,58,52,6,16,43,0,105,3,1,2,538,164,54,2090,1356,0.6,5.51,,,0.94,,,Games List,chenwe02
73,Kirk McCaskill,CAL,1985-05-01,1985-08-19,0.6,135.0,9,7,21,0,0,4,1,0,135.0,16,.563,4.07,131,65,61,4,12,44,0,68,2,0,3,571,186,51,,,0.6,6.69,,,0.94,,,Games List,mccaski01
74,Joe Magrane,STL,1987-04-25,1987-09-04,0.6,133.1,7,6,21,0,0,3,1,0,133.1,13,.538,3.71,129,62,55,7,6,50,6,79,8,6,6,572,195,52,,,0.6,5.86,,,1.06,,,Games List,magrajo01
75,George Kirby,SEA,2022-05-08,2022-09-10,0.6,111.2,7,3,21,0,0,0,0,0,111.2,10,.700,2.98,113,42,37,5,12,14,0,115,5,0,3,461,136,55,1335,926,0.6,8.62,,,0.90,,,Games List,kirbyge01
76,Mark Langston,SEA,1984-04-07,1984-07-17,0.6,126.1,8,7,19,0,1,3,2,0,126.1,15,.533,3.49,107,58,49,9,9,61,3,103,5,2,2,538,177,54,,,0.6,4.46,1,1,1.07,,,Games List,langsma01
77,Don Robinson,PIT,1978-04-10,1978-07-22,0.6,124.1,5,4,18,1,0,3,1,1,124.1,9,.556,3.62,117,56,50,6,11,32,1,80,1,1,5,518,158,53,,,0.6,0.28,0,0,1.05,,,Games List,robindo01
78,Kris Benson,PIT,1999-04-09,1999-08-08,0.5,134.0,10,8,21,0,0,1,0,0,134.0,18,.556,4.37,126,74,65,9,10,58,3,92,5,1,2,569,194,50,2111,1320,0.5,1.54,,,0.99,,,Games List,bensokr01
79,Grayson Rodriguez,BAL,2023-04-05,2023-09-16,0.5,111.1,6,4,21,0,0,0,0,0,111.1,10,.600,4.53,110,59,56,3,16,39,0,117,2,0,4,471,154,51,1918,1253,0.5,2.54,,,0.94,305.90,581.00,Games List,rodrigr01
80,Kazuhisa Ishii,LAD,2002-04-06,2002-07-30,0.5,123.1,12,7,21,0,0,0,0,0,123.1,19,.632,3.87,108,60,53,7,13,84,2,117,4,0,6,548,205,52,2103,1217,0.5,-1.61,,,1.02,,,Games List,ishiika01
81,Noah Syndergaard,NYM,2015-05-12,2015-09-12,0.5,129.1,8,6,21,0,0,0,0,0,129.1,14,.571,3.20,112,52,46,6,15,30,2,137,2,0,5,524,147,58,2087,1346,0.5,7.30,,,1.00,,,Games List,syndeno01
82,Rick Porcello,DET,2009-04-09,2009-08-11,0.5,112.0,10,7,21,0,0,0,0,0,112.0,17,.588,4.34,119,59,54,5,17,38,0,57,2,1,3,475,163,48,1775,1095,0.5,2.57,,,0.95,,,Games List,porceri01
83,Freddy García,SEA,1999-04-07,1999-07-28,0.4,121.2,10,6,21,0,0,0,0,0,121.2,16,.625,4.96,128,70,67,3,13,59,1,89,7,3,7,547,200,47,2174,1253,0.4,6.16,,,1.03,,,Games List,garcifr03
84,Scott Bankhead,KCR,1986-05-25,1986-09-05,0.4,115.2,8,8,17,0,0,0,0,2,115.2,16,.500,4.36,115,60,56,4,13,32,6,88,2,0,1,489,153,49,,,0.4,1.92,5,0,0.95,,,Games List,bankhsc01
85,Greg Hibbard,CHW,1989-05-31,1989-09-18,0.4,128.0,5,7,21,0,0,2,0,0,128.0,12,.417,3.09,129,52,44,8,4,36,0,52,2,0,4,535,180,52,1708,1051,0.4,8.83,,,1.04,,,Games List,hibbagr01
86,Jordan Montgomery,NYY,2017-04-12,2017-08-05,0.4,115.2,7,6,21,0,0,0,0,0,115.2,13,.538,4.05,108,56,52,4,16,35,0,111,1,1,3,484,148,52,1476,970,0.4,5.63,,,0.91,,,Games List,montgjo01
87,Geremi González,CHC,1997-05-27,1997-09-15,0.4,129.2,11,8,21,0,0,1,1,0,129.2,19,.579,4.44,119,68,64,4,15,63,5,81,1,1,1,558,187,50,1962,1185,0.4,6.17,,,1.01,,,Games List,gonzaje01
