Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Kyle Bradish,,2022,25,BAL,AL,4,7,0.364,4.9,117.2,509,80,4.45,1.402,9.1,1.3,3.5,8.5,2.41,0.2,-0.8,bradiky01
Tyler Mahle,,2018,23,CIN,NL,7,9,0.438,4.98,112,507,84,5.25,1.589,10,1.8,4.3,8.8,2.08,0.2,-0.7,mahlety01
Derek Lilliquist,ROY-4,1989,23,ATL,NL,8,10,0.444,3.97,165.2,718,91,3.72,1.425,11,0.9,1.8,4.3,2.32,0.2,-1.1,lillide01
Elizardo Ramírez,,2006,23,CIN,NL,4,9,0.308,5.37,104,465,87,4.64,1.462,10.6,1.2,2.5,6,2.38,0.2,-0.6,ramirel01
Scott Scudder,,1989,21,CIN,NL,4,9,0.308,4.49,100.1,451,81,5.12,1.515,8.2,1.3,5.5,5.9,1.08,0.2,-0.6,scuddsc01
Brad Woodall,,1998,29,MIL,NL,7,9,0.438,4.96,138,594,87,5.41,1.391,9.5,1.6,3.1,5.5,1.81,0.2,-0.9,woodabr01
Mike Brown,,1983,24,BOS,AL,6,6,0.5,4.67,104,454,94,4.88,1.471,9.5,1,3.7,3,0.81,0.2,-0.7,brownmi01
Jim Pittsley,,1997,23,KCR,AL,5,8,0.385,5.46,112,501,86,5.53,1.554,9.6,1.2,4.3,4.2,0.96,0.2,-0.9,pittsji01
Williams Pérez,,2015,24,ATL,NL,7,6,0.538,4.78,116.2,514,80,4.87,1.551,10,1,3.9,5.6,1.43,0.2,-0.8,perezwi01
Mark Hendrickson,,2003,29,TOR,AL,9,9,0.5,5.51,158.1,703,86,4.8,1.56,11.8,1.4,2.3,4.3,1.9,0.1,-1.4,hendrma01
Pete Redfern,,1976,21,MIN,AL,8,8,0.5,3.51,118,508,103,3.72,1.424,8,0.5,4.8,5.6,1.17,0.1,-1,redfepe01
Craig Stammen,,2009,25,WSN,NL,4,7,0.364,5.11,105.2,448,83,4.68,1.287,9.5,1.2,2,4.1,2,0.1,-0.7,stammcr01
Yusei Kikuchi,,2019,28,SEA,AL,6,11,0.353,5.46,161.2,721,80,5.71,1.515,10.9,2,2.8,6.5,2.32,0.1,-1.4,kikucyu01
Ryan Jensen,ROY-6,2002,26,SFG,NL,13,8,0.619,4.51,171.2,744,86,4.57,1.45,9.6,1.1,3.5,5.5,1.59,0.1,-1.3,jensery01
Esteban Loaiza,,1995,23,PIT,NL,8,9,0.471,5.16,172.2,762,83,4.74,1.506,10.7,1.1,2.9,4.4,1.55,0.1,-1.2,loaizes01
Wil Crowe,,2021,26,PIT,NL,4,8,0.333,5.48,116.2,524,78,5.67,1.569,9.7,1.9,4.4,8.6,1.95,0.1,-0.9,crowewi01
Eric Lauer,,2018,23,SDP,NL,6,7,0.462,4.34,112,504,89,4.51,1.545,10.2,1.2,3.7,8,2.17,0.1,-0.8,lauerer01
Kent Bottenfield,,1993,24,COLMON,NL,5,10,0.333,5.07,159.2,710,88,5.6,1.566,10.1,1.4,4,3.6,0.89,0.1,-1.2,botteke01
Ted Lilly,,2001,25,NYY,AL,5,6,0.455,5.37,120.2,537,84,4.79,1.467,9.4,1.5,3.8,8.4,2.2,0.1,-1.1,lillyte01
Matt Clement,,1999,24,SDP,NL,10,12,0.455,4.48,180.2,803,94,4.51,1.528,9.5,0.9,4.3,6.7,1.57,0,-1.4,clemema01
Tom Dixon,,1978,23,HOU,NL,7,11,0.389,3.99,140,592,83,3.26,1.286,9,0.5,2.6,4.2,1.65,0,-1.1,dixonto01
Enrique González,,2006,23,ARI,NL,3,7,0.3,5.67,106.1,462,83,4.69,1.392,9.6,1.2,2.9,5.6,1.94,0,-0.8,gonzaen01
Mike Moore,,1982,22,SEA,AL,7,14,0.333,5.36,144.1,651,79,5.28,1.649,9.9,1.3,4.9,4.6,0.92,0,-1.3,mooremi01
Bob Owchinko,,1977,22,SDP,NL,9,12,0.429,4.45,170,743,80,4.26,1.518,10.1,1.1,3.5,5.3,1.51,0,-1.3,owchibo01
Hunter Brown,,2023,24,HOU,AL,11,13,0.458,5.09,155.2,665,83,4.37,1.362,9.1,1.5,3.2,10.3,3.24,0,-1.4,brownhu01
Luis Medina,,2023,24,OAK,AL,3,10,0.231,5.42,109.2,495,78,4.76,1.514,8.9,1.1,4.7,8.7,1.86,0,-1,medinlu02
Ken Waldichuk,,2023,25,OAK,AL,4,9,0.308,5.36,141,639,78,5.3,1.56,9.5,1.5,4.5,8.4,1.86,0,-1.2,waldike01
Rocky Biddle,,2001,25,CHW,AL,7,8,0.467,5.39,128.2,571,86,4.74,1.469,9.6,1.1,3.6,5.9,1.63,0,-1.3,biddlro01
Ryne Nelson,,2023,25,ARI,NL,8,8,0.5,5.31,144,619,83,5.07,1.424,9.9,1.5,2.9,6,2.09,0,-1.3,nelsory01
Jonathan Heasley,,2022,25,KCR,AL,4,10,0.286,5.28,104,465,78,5.67,1.49,9.3,1.6,4.1,6.1,1.49,-0.1,-1,heasljo01
Danny Duffy,,2011,22,KCR,AL,4,8,0.333,5.64,105.1,474,73,4.82,1.614,10.2,1.3,4.4,7.4,1.71,-0.1,-1.1,duffyda01
Spencer Arrighetti,,2024,24,HOU,AL,7,12,0.368,4.72,131.2,577,84,4.18,1.42,8.6,1.3,4.2,10.8,2.59,-0.1,-1.2,arrigsp01
Jeff Suppan,,1997,22,BOS,AL,7,3,0.7,5.69,112.1,503,82,4.37,1.567,11.2,1,2.9,5.4,1.86,-0.1,-1.2,suppaje01
