Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
1977,"Jon Matlack","NYM",7,15,26,26,5,3,12,169,123,4.207100971569623,112.56309937568955,3.5427768226247753,92.37672761878181,0.6643241489448473,176.92445302022503,120.73219851100214,103.84238472179128,94.32746346835692,125.13710759747079,70.72911952644019,0.11396011,-0.8976081609725952,-0.19253778457641602,-0.8115307979284259,2.604552745819092,"Jon Matlack",1008246,118428
1980,"Matt Keough","OAK",16,13,32,32,20,2,20,246.1,118,2.8132612218226787,72.88107751001468,4.112358172380727,103.09666571794229,-1.2990969505580483,91.35900420307254,98.47334271563358,87.28594616029504,88.75114304479222,97.19370925836867,106.38657528992981,0.02742409,2.4130020141601562,1.91827392578125,0.4713491952959532,2.6039490699768066,"Matt Keough",1006858,117004
2000,"Gil Heredia","OAK",15,11,32,32,2,0,20,198.2,101,4.1224831159327175,85.840359423236,4.744906075733922,98.77812990575775,-0.6224229598012041,91.49321030298648,90.25002577379094,100.07325311030905,94.584307143585,74.44122079686268,81.3625612474888,0.04069767,0.8337998986244202,0.5932221412658691,0.2818742977849322,2.6034655570983887,"Gil Heredia",1005686,115804
2012,"Jason Hammel","BAL",8,6,20,20,1,1,9,118,113,3.432203167918372,82.23341234092774,3.289367336666609,76.52914039405367,0.1428358312517628,109.72171152929594,63.07218828116291,92.1696429160067,94.62875849607163,117.92100285690144,107.4728047203454,0.14401623,1.122519850730896,1.3839621543884277,-0.28951057738855956,2.6033990383148193,"Jason Hammel",4538,434628
2010,"Ryan Dempster","CHC",15,12,34,34,1,0,23,215.1,208,3.845201056739592,92.96389186597892,3.9927030641958217,98.97197781727303,-0.14750200745622966,108.55395938219668,111.92207839466784,95.58643538175852,97.86239171722497,118.3888750998275,109.05993533502685,0.1328976,0.8699681162834167,0.21929104626178741,0.6789043589711103,2.6004436016082764,"Ryan Dempster",517,133225
2014,"Brandon McCarthy","- - -",10,15,32,32,1,1,16,200,175,4.05,105.41032390281936,3.5472521686553957,93.28151726648399,0.5027478313446041,198.48558379279174,131.07026124098672,112.3739030367498,100.11096806597088,102.78040881372374,51.77351775151821,0.16985646,-0.5682399868965149,-0.6346129477024078,0.03679925954573737,2.6000805497169495,"Brandon McCarthy",4662,435221
2004,"Brandon Webb","ARI",7,16,35,35,1,0,20,208,164,3.5913464173057568,78.86740716111149,4.40984641299446,97.09965254965975,-0.8184999956887031,69.22976590967976,66.14476905432161,93.6676940230195,108.59688071666385,101.73314279981022,146.94999956416956,0.04823151,-0.4703280031681061,-0.11623072624206543,-0.31586266772062604,2.597944974899292,"Brandon Webb",1692,425630
2017,"Masahiro Tanaka","NYY",13,12,30,30,1,1,17,178.1,194,4.743924963040933,108.72398782188323,4.340817196816275,96.73881347913758,0.40310776622465827,183.16209192430176,134.98475187003888,101.62925524094177,93.01127559407594,119.56187707418992,65.27653748575804,0.20345745,0.21205589175224304,0.08815983682870865,0.14741673224817906,2.596226215362549,"Masahiro Tanaka",15764,547888
1979,"Geoff Zahn","MIN",13,7,24,24,4,0,14,161.2,52,3.6185569287208117,82.84084382360354,3.8579387940568917,91.76039087968604,-0.23938186533607997,97.71626337054096,80.37896936262854,104.83526787891293,94.47453197349509,65.99145513204401,67.53374944902842,0.01934524,1.9716479778289795,1.2211060523986816,0.6288344542444635,2.5956671237945557,"Geoff Zahn",1014410,124734
1993,"Ken Hill","MON",9,7,28,28,2,0,16,183.2,90,3.2341199613384912,80.53533238193555,3.810489327433376,95.95401963925111,-0.5763693660948848,64.68034338878216,39.525179501828504,90.41382504348957,95.07602988898203,75.13647984581095,116.16586037486634,0.02051282,0.30444833636283875,0.48994433879852295,-0.1975451947814848,2.594515085220337,"Ken Hill",1005827,115941
1998,"Chris Carpenter","TOR",11,7,24,24,1,1,11,152.1,116,4.667396217109003,99.76808283175706,4.110705883695695,90.69104560035913,0.5566903334133082,127.17412302191914,90.91051231656789,99.71817299429111,94.90823608042108,109.99379145993429,86.49070441073488,0.10339506,1.083240032196045,0.3683948814868927,0.7060652649808024,2.593214750289917,"Chris Carpenter",1292,112020
2014,"Drew Hutchison","TOR",11,13,32,32,1,1,12,184.2,184,4.483754759626961,115.47642762789296,3.8470536520741865,100.29441300407547,0.6367011075527742,115.76715711200045,126.22019202551596,96.77050039906995,98.30262679201755,116.05971871134469,100.25271505607061,0.15776082,-0.07963001728057861,-0.21821436285972595,0.1411469365772975,2.5925660133361816,"Drew Hutchison",10732,571800
