Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2014,Eugenio Suárez,DET,277,4,33,23,3,2.0,0.652242043,0.2949285874507524,0.8779980352521632,0.3781797483097762,3.068276323378086,-3.777758658915996,86.35052554148916,95.32270977305672,102.94530539902524,122.69419203174236,99.9303054420091,85.90601711227174,68.53776452605953,106.04554252530689,553993,AL,AL,0,0.0,AL,37,28,22,29,31,15,16,37,39,18,27.2,27,0
2018,Brandon Lowe,TBR,148,6,16,25,2,1.0,0.773936727,0.3335839477745262,0.873701799800969,0.8371183793060482,0.0334277153015136,3.39428728781798,114.45320108641694,93.1000842386898,130.2284094196411,117.82202205879008,101.74987492807834,107.9237379091923,130.12202164274228,94.8392135706914,664040,AL,AL,0,0.0,AL,33,14,23,14,39,7,22,13,11,23,19.9,12,0
2006,Chris Denorfia,CIN,120,1,14,7,1,1.0,0.723856731,0.3221963659310952,0.8710553412862758,0.7120346806477755,6.206669092178345,-1.1950191176821665,87.84551298717706,103.97458380734066,103.20568089938098,106.52819996155785,103.76183048586928,83.22951843308098,49.98564763287458,114.2142718440538,456121,NL,NL,0,0.0,NL,23,28,22,28,17,12,13,42,46,7,23.8,25,0
2017,Josh Bell,PIT,620,26,75,90,2,4.0,0.800173334,0.3383136396477749,0.8686073976162654,-3.564635296817869,-15.432075023651125,2.820300309939851,108.01249629047744,97.5884463012566,118.3155203810684,89.85004820803829,100.08584339528927,106.65115914040682,120.11355881233938,91.08527307165562,605137,NL,NL,0,0.0,NL,12,20,25,20,35,22,24,21,19,66,26.4,21,0
2009,Everth Cabrera,SDP,438,2,59,31,25,8.0,0.70260317,0.3126960414998672,0.867773162945608,2.4440582618117332,-4.917237758636475,-0.1421537944295616,95.20225765400654,95.82027265772032,113.25376307975344,114.89152613480628,100.8848892131424,85.47333474571963,67.88130782111583,107.60981502968843,465784,NL,NL,0,0.0,NL,25,28,18,17,26,13,17,37,30,39,25.0,24,0
2013,Brandon Barnes,HOU,445,8,46,41,11,11.0,0.634882084,0.2829842037926502,0.8646110622873978,0.4211917011998594,5.966855823993683,-12.304291408676807,74.83030712152465,93.6842506301614,57.993037931858595,144.98116116871793,90.13234004179056,85.2229395426404,70.67519379942367,109.78742007922708,488681,AL,AL,0,0.0,AL,55,41,23,42,37,52,39,36,41,10,37.6,41,0
2003,Josh Bard,CLE,330,8,25,36,0,2.0,0.665620219,0.290441577040821,0.8473929584197537,-1.6043781350599602,9.135690689086914,-11.910800306875585,75.0415087097825,91.21421385775868,80.71084879209359,102.26060883847455,87.64635680040439,87.02390515454539,80.04652193036831,91.5238921182563,408036,AL,AL,0,0.0,AL,17,32,14,29,29,24,32,25,24,2,22.8,23,0
2009,Chris Getz,CHW,415,2,49,31,25,2.0,0.670338163,0.3006703215707589,0.8468545614756031,6.779278490692377,0.5136235952377319,-6.55778148805085,74.26678283653717,97.80894273551714,82.04593358855399,74.73615110604769,96.26469093887256,80.79286667398073,52.70963527781253,99.26366227870533,460051,AL,AL,0,0.0,AL,3,34,19,37,23,34,23,40,44,19,27.6,30,0
2008,Will Venable,SDP,124,2,16,10,1,1.0,0.729618767,0.3217581592924227,0.8453512239123206,0.2894654183182865,4.270683199167252,0.2288365954673853,99.61047630647344,98.63553520032762,115.02753211385088,98.78281483023736,99.8832958032082,91.67864583878224,79.99181950190342,101.7743321913198,461416,NL,NL,0,0.0,NL,13,30,23,22,26,17,23,33,31,8,22.6,17,0
2008,Jay Bruce,CIN,452,21,63,52,4,6.0,0.766943795,0.3331874516480778,0.8441514672394953,0.993572188075632,-5.137060880661011,-0.9062877241403636,96.65142852911046,95.11901425282458,80.1042649518203,141.95086337737425,92.64354585346688,106.1900865283691,124.78834514864772,98.11109328475013,457803,NL,NL,0,0.0,NL,44,21,24,24,36,33,37,13,8,51,29.1,31,0
2009,Jayson Nix,CHW,290,12,36,32,10,2.0,0.715801614,0.3145283063252767,0.8382759981579827,0.692277017980814,3.5475101470947266,-5.307567204137414,83.43375597829134,83.660109903404,109.58319025282846,126.75556743155238,91.59140636474054,95.05043150453658,113.8489372512225,82.77684553375983,434624,AL,AL,0,0.0,AL,31,25,20,30,39,16,33,24,14,10,24.2,23,0
2021,Ryan Mountcastle,BAL,586,33,77,89,4,3.0,0.795765105,0.3350188498423524,0.832871599340856,-0.3768344358541071,-19.12885570526123,7.381620371151428,110.81373100203976,103.55000909589812,82.55134204140445,120.09473749014964,97.5787704996131,117.11660753045324,136.76954394052757,101.80017424130185,663624,AL,AL,0,1.0,AL,36,14,27,14,21,46,32,5,10,72,27.7,22,0
2003,Miguel Cabrera,MIA,346,12,39,62,0,2.0,0.792714269,0.338419319605757,0.8299606890978347,-1.9037289107218385,-3.827072262763977,0.9040387526454072,106.32237874000782,99.59924215190382,80.10318197700487,150.5532001836415,95.3127134261076,108.62765972332068,123.56173500626,110.37896711561436,408234,NL,NL,0,2.0,NL,36,12,15,7,14,28,19,6,7,35,17.9,13,0
2007,Jerry Owens,CHW,389,1,44,17,32,8.0,0.635631948,0.2907290999135822,0.8271544699784859,5.871108678402379,4.489747405052185,-9.471585412317484,68.55039510588853,98.47552280643208,81.03521245124513,96.98048010253773,95.66919307858936,73.59370375015457,29.434786470964397,105.39071254137303,435539,AL,AL,0,0.0,AL,19,40,21,40,26,32,27,41,48,8,30.2,33,0
2022,Gunnar Henderson,BAL,132,4,12,18,1,1.0,0.78814002,0.3432073229141817,0.8238932543865356,-0.2855132739059627,-0.118380606174469,3.8145454143268553,127.60252417213069,106.65512250704548,152.2693813087106,115.9314239359374,112.65024186413504,112.21246351075942,121.23694525831756,115.10242030457384,683002,AL,AL,0,0.0,AL,44,11,23,7,17,4,6,15,22,30,17.9,7,0
2019,Tim Locastro,ARI,250,1,38,17,17,0.0,0.697052359,0.3137730403118823,0.8222004698849303,3.623183185234666,0.0793280601501464,0.4102945932705824,90.2593038942301,96.94372055235888,63.20612824712525,80.51817844184473,108.03084591999064,76.30715489823417,47.877500773070985,103.05661901305068,641796,NL,NL,0,0.0,NL,14,37,28,38,40,58,13,63,69,29,38.9,40,0
2012,Adam Eaton,ARI,103,2,19,5,2,3.0,0.794117646,0.3545093489628212,0.820375989131044,0.7617937475442886,1.6586082875728607,3.0385640244359307,118.54792019659124,99.20075031949344,164.68294471606083,75.84117875624277,117.08898622047572,99.52378512622136,100.07528851376335,96.9627352948433,594809,NL,NL,0,0.0,NL,9,9,18,10,31,3,3,23,23,19,14.8,6,0
2008,Daniel Murphy,NYM,151,2,24,17,0,2.0,0.870633435,0.3807768770058949,0.8201584874791885,-1.264898641733453,-1.5753620266914368,4.955277285834955,132.8172472766081,117.09562108209984,130.79034809400565,108.15955012997136,117.1762410895556,110.99740193258742,100.75305499226646,126.82988701918578,502517,NL,NL,0,0.0,NL,22,2,25,2,3,10,2,11,16,39,13.2,7,0
2008,Chris Davis,TEX,317,17,51,55,1,2.0,0.880382825,0.3746359035184112,0.8197216440708962,-2.410369959194213,-10.351210594177246,7.617253892678036,125.67849344377102,106.210030775534,73.39292224370031,164.85824455877392,98.54983132126014,130.44697670966931,172.9497125214181,116.08803647334524,448801,AL,AL,0,1.0,AL,51,4,26,4,14,37,30,2,2,59,22.9,20,0
2011,Jason Kipnis,CLE,150,7,24,19,5,0.0,0.840686274,0.3635665988922119,0.8136905084410639,1.9798300962429496,-4.873713433742523,7.63242654739676,132.36250562263606,105.30900185155832,90.53308841297417,126.35067384341129,103.12292724231033,124.11900826042124,156.42483849995642,106.29767842827488,543401,AL,AL,0,0.0,AL,51,4,18,4,18,28,15,2,2,51,19.3,11,0
2017,T.J. Rivera,NYM,231,5,27,27,1,0.0,0.760341324,0.3261588449063508,0.8122119012913022,-0.8457148685120046,-0.0727346539497375,0.2829323856652705,103.80144979074488,110.87168021933095,43.30320038325565,65.95718924085585,99.05576438938624,98.32682454803832,79.69184336351513,104.31553632016856,608061,NL,NL,0,0.0,NL,3,27,26,23,8,61,28,31,44,21,27.2,22,0
